movie,sentence,score
올빼미,"역사영화 기대하는 사람들 보지 마세요 판타지영화입니다!  1. 사극을 기대하고 갔는데 판타지영화였음  2. 중간중간 깨는 완연한 현대말투 (세자빈 대사 삑사리날 때 깜짝)  3. 전형적인 선악구도에 마지막 권선징악까지 완벽  4. 스토리 개연성 부실한 듯함... (영의정 대체 뭐임?? 무슨 역할임??)  소현세자 독살 음모론에 선악구도를 끼얹은 전형적인 영화라고 생각들어요.  그리고 역사영화 제작하시는 분들 앞으로 말투는 어찌 못해도 용어는 제대로 차용했으면 좋겠어요.계속 강빈이라고 호칭하던데 빈궁, 세자빈이 옳지 않을까 싶어요.... (이건 개인적인 바람이에요) ",4
탄생,재조명되는 김대건신부에 대해 알게 되어 감동적이었어요. 입소문 타서 흥행 이어나갔으면 하네요.,10
캐리비안의 해적: 죽은 자는 말이 없다,1~4편 중 어느하나에 비교해도 확실히 아쉬움.. 잭스패로우 캐릭터의 매력이 제대로 보이지 않았고 무슨 마블영화에 나올법한 너무나도 판타지스러운 전개.. ㅠㅜ 그래도 앞전편들은 나름 재미있게 이해할 수 있는부분인데 좀 억지스러운 요소가 많았음 그리고 로맨스는 그만.. 새로 나온 인물들도 그닥임 그래도 어린 잭스패로우는 멋있게 나옴 제발 6편 나왔으면 ㅜㅜ,7
34번가의 기적,이 명작을 이제서야 보다니… 최고의 크리스마스 영화중 하나입니다. ,10
압꾸정,와.... 너무 재미없어요....,2
탄생,최고입니다. 보는 내내 눈물이 마르지 않았어요,10
탄생,배우들의 연기가 나쁘지않았던거같네요,8
올빼미,"스릴러물 사극이라서 즐거운 마음으로 극장에 갔다.보고나서 후회 할 영화 일 줄 알았지만 ,연출과 극 중 모든 배우들의 연기가 후반까지 빠지는 곳 없이 채웠다 스토리 전개도 흥미 진진 했다 .상암에서 영화 관람을 했는데 ,무대인사 때 감독님이 상암동에 자주 있어서 상암동 한 카페에서 시나리오를 쓰셨다고 하여 정말 신기하고 멋있고 존경스러웠다. 크 특히 올빼미에서 아역배우의 연기가 눈에 제일 띄었다 ",8
압꾸정,압꾸정을 본후 올빼미를 보니 개안된 느낌..,1
압꾸정,너무재밌었습니다.!!!,10
올빼미,기대안하고봤는데 진짜 너무재미있게봤어요!! ,10
올빼미,최근 본 영화중에 가장 재밌었어요 !,10
올빼미,꼭 보세요.기대하고 봤는데 기대이상입니다.,10
종말의 끝,배우분들 연기 너무 잘하고 몰입도 높게 볼 수 있었는데 평점 무슨 일인가요…!!,10
올빼미,진짜 박진감 넘치는 재미와 감동 반전 너무좋았음,10
만인의 연인,잔잔하지만 몰입도 있게 볼 수 있는 영화,10
올빼미,지립니다... 두 번 보세요..,10
더 폰,손현주 연기 잘했는데 영화가 많이 아쉽네...,5
올빼미,연출.영상.연기 너무 대단했습니다역시 유해진배우입니다소현세자역 김성철배우님 사극도 좋네요,10
에브리씽 에브리웨어 올 앳 원스,나의 현재는 모든 실패의 과거를 지나 모든 성공의 미래를 위한 것,9
백엔의 사랑,여배우의 열연에 찬사를.,7
올빼미,중반부 긴장감이 좋았다.,7
샹치와 텐 링즈의 전설,개연성이 너무없음. 갑자기 용이 왜튀어나옴?  극중 가장 센 빌런인 큰 박쥐같은 놈은 대사 몇마디로 설정이 되는 것도 말이안됨. 샹치 첫편인데 샹치 개인고유의 특성을 살리는 방향으로 스토리방향을 짰으면 눈은 덜즐거웠어도 이후 스토리를 위해 더 좋았을거 같음. 이런 허접한 스토리에 양조위 양자경을 데려다 쓰다니 아깝다,6
어느 가족,가족이라는 구성원의 재정의.,8
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","영화를 보면서 운 적이 많이 없는데 배우들의 연기, 스토리, 연출이 모두 울컥하게 만든 영화같다..막 펑펑까지는 아닌데 보다보면 눈물이 주루룩 흐르는 영화 인생영화인듯..",10
올빼미,재밌어요 결말이 아쉽지만,9
올빼미,처음엔 약간 지루한 부분이 있었지만 뒤로 갈수록 흥미진진하여 숨죽이고 봤어요.그 어떤 스릴러영화보다  무섭더라구요.전 개인적으로 결말이  좋았어요.마지막씬 사극인데도 류준열이 멋있게 보였어요.유해진배우 평소에 팬이였는데 역시 돋보이는 연기력  엄지척~!,8
올빼미,기대한것보다는 보통~~킬링타임용으로는 괜찮음~시간은 잘갑니다ㅋ,7
탄생,꼭 한번씩 보셨으면 좋겠어요!!매우강추입니다!!!!,10
올빼미,지루함이 단 한순간도 없는 작품이네요.스토리 탄탄하고 유해진의  광기어린 연기력이 단연 독보입니다.사극영화가  이리 잼있을수가~지금 이시대를 반영하는듯 하여 몰입도 최고였습니다.,10
압꾸정,진짜 개최악ㅋㅋ...,1
탄생,천주교인이라 보러 갔는데 종교 뿐 아니라 그 동안 잘 다루지 않은 우리나라 역사까지 많은 내용을 알게 되었습니다.연기도 너무 좋고 신념을 지켜나가는 보편적인 스토리라 교인이 아니라도 충분히 공감할 수 있을거라고 생각합니다.이런 영화가 많이 나오면 역사 공부에도 참 좋을 것 같아요~,10
압꾸정,진짜….최악…시간 아깝고 돈 아까움ㅜㅜ 동석이형아.. 라인업 괜찮아서 봤더니만.. 억지 개그에..코미디라는 장르가 너무 민망할뿐.. 그래도 끝까지 믿고 봤는데.. 결말까지 너무 아쉬운.. 걍 얘기가 점점 산으로 감,1
범죄의 여왕,에휴 이딴걸 쳐만들고 흥행해서 돈벌겠다고 생각한거야?,1
탄생,너무 지루해서 잠이옵니댜 ㅜㅜ 정말 별로에여 관람객평점보고봣는데 보고나니 몇명안적엇네여 ,2
탄생,너무 지루해서 잠이옵니댜 ㅜㅜ 정말 별로에여 관람객평점보고봣는데 보고나니 몇명안적엇네여 ,2
탄생,너무 지루해서 잠이옵니댜 ㅜㅜ 정말 별로에여 관람객평점보고봣는데 보고나니 몇명안적엇네여 ,2
올빼미,소현세자 연기가 ㄹㅇ 미침ㅠㅠ,10
탄생,솔직히 너무 재미없음 그런데 런닝타임도 길다????종교영화 다신 안봐,4
올빼미,스토리 짱!!!  연기도 굳!  연출도 퍼벡트!!!,10
신라의 달밤,차승원 진짜 웃기고 매력있고 김혜수 참 이쁘네,7
1급기밀,군사비리 현제도 계속 진행 중이겠죠 근데 카메라 한대가 뭐고 여려 빙송사가 나와야지,10
올빼미,소재자체도 매우 참신했고 보는 내내 세부적인 내용이 너무 궁금하여 집에 먼지 쌓인 조선왕조 실록을 다시 꺼내서 읽고싶은 마음이 생길 정도.,10
원피스 필름 레드,기대했던 영화인 만큼 좋았습니다 특히 Ado가 불러서 더 좋은 역광 신새대 나는 최강등등...당연히 노래가 영화에 90%를 차지하는 게 맞는 에피소드 인데 평점에 이야기가 많더군요 우타가 노래노래 열매?를 먹은 능력자인데 냅다 전투만 꼬장 안 박고 노래의 특유의 느낌 살려서 노래부르면서 전투 하는 씬이 인상 깊었습니다,10
레미제라블,"가슴을 울리는 주제가 , 다만 일반대사가 많았다면  노래의 감동이 증폭되지 않았을까 라는 생각도 든다",9
지상 최대 맥주배달 작전,잭에프론 인생작 연기좋았다,9
올빼미,진짜재밌음 한번더볼꺼에영,10
탄생,배우님들 고생하셨어요감동있게 보고왔습니다,10
탄생,이렇게 편하게 하느님을 믿을수 있고 성당에 교회에 다 다닐수 있음에 감사함을 느끼게 해주는 영화입니다. 종교뿐 아니라 자유가 우리에게 얼마나 중요한건지 알수 있습니다. 지금도 이란이나 공산주의 국가에서는 정치적인 이유로 자유를 탄압하고 있어요. 많은 이들이 이영화를 봤으면 합니다. 김대건 신부님과 그외 종교인들의 순교와 희생에 머리숙여 감사드립니다. 천국에서 행복하세요,10
더 킬러: 죽어도 되는 아이,액션 외엔 기대하지 마세요,5
탄생,"가톨릭 신자라 봤는데.. 일반인에게는 크게 어필하지 못할 것 같은 생각. 일단  러닝타임이 너무 길다. ㅠㅠ 그리고 주절주절 풀어놓는게 많아서 따라가기가 힘듬. 신부 김대건이 아닌 인간 김대건의, 20대 초반의 호기심 왕성한 모습을 그려준건 나름 신선했다. 다만 극중 미사때 사용된 말들이 요즘식이어서 이건 좀 고증을 통해서 예전대로 해줬으면 좋지않았을까 하는 아쉬움도 있다. 신자라면 꼭 한번 보시면 좋을듯. 일요일이라 그런지 어르신들이 많았음.",6
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",원작이랑 후속작 둘 다 읽은 찐팬으로써 너무 아쉬웠다... 원작 본 사람도 이런데 안 본 사람은 진짜 돈낭비 했다고 생각할듯... 엔딩곡은 진짜 좋았고 사라지는 연출도 볼 만 했지만 확실히 러닝타임이 정해져 있어  둘의 서사를 우겨넣느라 모든 인물들이 일차원적으로 느껴짐... 생각외로 지나친 아이들도 서사가 꽤 있거든요 무엇보다 홍차가 왜 없냐 홍차가?? 어떻게 홍차를 빼먹냐...모든 소설 원작이 이렇겠다만... 걍 올빼미나 보세요 각색 솔직히 많이 마음에 안 들었음ㅜㅜ 책으로 볼 땐 진짜 대성통곡했는데.... ,1
레이디 버드,그저 평범한 일상들로 채워진 성장영화로영화가 끝날때까지 관객을 이끄게 정말 대한하게 느껴짐.. 잘 봤음,8
올빼미,근래봤던 영화중에 가장 탄탄한 스토리였던듯.. ,8
올빼미,오랜만에 재미있는 영화. 굿!,10
데시벨,엄청 울었어요. 잠시도 쉴틈이 없네요 주변인들 다 재밌다고 합니다,10
올빼미,아 재밋네 재밋네재밋네,10
이제 그만 끝낼까 해,"새벽 3시 추운 겨울, 영등포 CGV에서 혼자영화를 본다면 어울릴 것 같은 영화",10
기생수 파트1,실사화 한 영화 중에 나름 평작,6
올빼미,대제로 잼 있었습니다~~역사에 기반을 두었지만 조금 뻔한 스토리에... 개연성도  부족했고...하지만 나름 한국영화  괜찮았네요^^,8
올빼미,사극도 이렇게 무서울수가 있구나 충격 받은 영화. 오랜만에 극장 방문했는데 표값이 전혀 아깝지 않았고 오히려 영화관에서 봐서 다행이라는 생각이 들었던 영화. ,10
올빼미,그냥 생각없이 봤는데 몰입감 굿 올해 최고의 영화 돈 하나도 안아까움,10
올빼미,진짜 올해 본 영화 중에 최고다. 돈이 1도 아깝지 않았음. 갓벽,10
요정,"씁쓸한영화 부부도 부부같지않고 형제도 형제같지않고 가족도 가족같지않고. 뻔뻔스럽게 입에 가족이라는 말을 올리지만 단한번이라도 가족의 모습을 보여준적이 없는 이기적인사람들의 이야기, 우리사회에 대한 이야기겠지. 결국 이득이되는 관계만을 붙잡고싶은 관계로 여기는 현대인을 동화적인 요소에  숨겨 더 적나라하게 표현했다고 느꼈다 염세적이 되는 스토리",6
올빼미,류준열  역시  정말  재밌었어요,10
"그 겨울, 나는",요즘 젊은세대의 현실을 조금이나마 공감할수 있는 시간이었어요.안타깝고 답답하던 마음이 마지막에 희망적인 메세지로 끝이나서 너무 감사했던 그런 영화입니다. ,10
올빼미,오랜만에 사극 중 너무 완벽한 영화였다!!유해진이 나와서 코믹인가 싶었는데 그건 착각이다.처음부터 끝까지 지루할 틈이 없고 꽉채워진 내용 속에서 특히 맹인을 연기하는 류준열은 완벽하다영화비 아깝지 않다!!!!,10
올빼미,최근에 본 것 중에 젤 재밌어요,10
리멤버,조작에 쓰레기냄새가ㅠㅠ,2
압꾸정,임팩트가없네요ㅠ배우들의연기는 흠잡을데없네요,4
본즈 앤 올,트와일라잇 고어버전...,5
올빼미,심장 쪼이게 하고 재미있음 결론이 쪼꼼 그렇긴 한데 역사 영화라 그건 어쩔 수 없는 듯,9
원피스 필름 레드,와...개 역대급 노잼 그냥 노래만 부르다가 끝남 그냥 유튭 전투장면이 끝임,2
올빼미,재밌어용!!와우굳ㅎ,10
옆집사람,난 왜 이 말도 안될 것 같은 영화에 가슴 졸이며 긴장하고 봤는지 모르겠지만 꼭 우리 옆집사람들 같아 숨을 죽이며 영화를 봤다,10
올빼미,영화 깔끔하게 잘 만들었어요 있는 역사를 상상 더해서 픽션으로 잘 풀었고 전달하는 주제 의식도 명확해요 ,10
올빼미,"장르를 공포,스릴러로 합시다",10
올빼미,감히 말할 수 있는 올해 최고의 영화,10
올빼미,유해진배우님. 류준열배우님 숨막히는. 연기가 압도해요. 멋졌어요.. 슬픈 역사예요. 이후로 조선이 점점 기울어가는것도 알고보면 넘 슬프네요.,10
레슨 플랜,ㅋㅋㅋ 어쩌다 속아서봤는데너무 어설프고 스토리는 분명 무거운 주제인데 어떻게 유치할수가 있지 싶었습니다.거기에... 액션이 진짜.. 와... 충격적임..생각보더시간이 급방간건 놀라움 ㅋ차라리 코믹함을 넣었으면 웃긴 삼류영화쯤으로 봤을지도.. ,1
탄생,할말 없게 만드는 영화.지루합니다.,4
올빼미,침 맞는 분들 보면 경직될 영화,10
"그 겨울, 나는",이별사유 중 내가 나를 놓아버린게 가장 크다,7
올빼미,진심 작품이었다. 새로운 소재이면서 스토리 흐름도 만족스럽다.,10
창밖은 겨울,추운겨울이지만 영화보면서 따뜻함을 느꼈습니다.,10
올빼미,류준열 연기 진짜 잘하네요~~,10
드라이빙 미스 데이지,남자 주인공 성격이 정말 좋다. 남자 주인공이 차를 바꾸는데 그이유때문에 더욱더 멋있어보임. 배려심이 가득하다.,10
탄생,얼마나 울었는지 모릅니다....지금 이시대는 이렇게 편하게 성당을 다닐 수 있는데..항상 감사함을 잊지 않겠습니다. 감사합니다.,10
올빼미,생각지 못하게 재밌게 봄.기대이상!,9
놉,"조던필의 영화를 너무나 좋아했던터라, 전작들에 비해 평이 낮았던 ‘놉’이라는 영화를 볼까말까 고민했던 내가 미워질 정도로 너무 좋은 작품이었습니다. 조던필 특유의 은유와 풍자가 이번 작품에서는 군더더기 없이 깔끔하고 세련되게 표현된 작품인 것 같아요. 작품에서 소재들의 은유가 점점 개념적으로 변해가는거 같아서 팬입장에서는 다음작업이 너무 기대가 됩니다.. 사랑합니다",10
올빼미,오랜만에 진짜 재밌게본 영화...,10
올빼미,너무 만족해요 배우님들도 너무 멋있고 연기도 잘 하셔요,10
압꾸정,기대를너무했나 코미디라웃을려고  봤는데  너무 지루하고 재미없음.감동도없고.  뭐지 ?씁쓸한기분이 드는건 ㆍㆍ,4
데시벨,역대 최악의영화.개그영화인지 추격물인지 스릴런지헷갈릴정도로 장르가 뭔지모르겠음말도안되는 스토리그냥 b급영화가 더 나을듯,1
에브리씽 에브리웨어 올 앳 원스,인생영화아무것도 부질없지 않을까 하는 생각을 품어본 사람이라면 ,10
올빼미,올 하반기 근래 없던 볼만한 한국 영화,7
원피스 필름 레드,샹크스가 나와서 더더 재밌어요.. 그리고 제 최애 로우 나와서 너무 좋았어요 ㅎㅎㅎ 신시대도 넘 좋아서 맨날 듣고 있어요 시사회로 봐서 일찍 봐서 넘 좋았어요,10
올빼미,몰입감 좋고 배우들 연기 특히 류준열 배우님 연기짱이예요~~^^,10
원피스 필름 레드,중반은 지루했지만 영화관에 맞춘 음악과 악역과의 대결에서 나오는 연출이 너무 좋았어요 1번 더 보고 싶네요,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",원작보단 덜 하긴 하지만 역시나 후반부 급발진이 심함.,7
압꾸정,마동석이라는 하나의 장르로 보기 좋은 영화. 하지만 굳이 후반부에 폭발씬을 넣어야 했을까...,8
킹덤2: 아득한 대지로,댓글알바가진짜있구나,2
탄생,김대건 안드레아 신부님의 인생자체가 고난의 연속이었기 때문에 잔잔하게 그려내도감동과  눈물이 벅차올랐습니다영상미도 아주 뛰어났습니다 좋은 영화 만들어주셔서 감사합니다,10
도어락,뭐 그냥 그럭저럭 재밌음이정도면 재밌다고 생각함약간 공포감 있음,6
에브리씽 에브리웨어 올 앳 원스,마스크 하나 더 챙겨갈걸...,10
올빼미,"오늘 봤습니다처음부터 몰입하며 봤네요침술사 류준열의 연기와 인조 유해진의 연기는 정말 감정이 섬세하게 느껴졌어요아빠를 잃은 원손의 울음앞에서 갈등하는 침술사 류준열의 동생을 살려야하는 마음, 그 마음들이 다 느껴져서 끝날때까지 눈을 떼지 못했습니다",10
올빼미,최공의 연출 시나리오정말 재미집니다.,10
올빼미,"와칸다로 받은 상처, 올빼미로 치유. ",10
리멤버,언제까지 우리 국민이 싸구려 반일 선동 컨텐츠 보면서 분노하면 될까? 사익을 위해 무슨 일이라도 할 사람들은 어느 시대에도 존재함(본인은 절대 아닌지 가슴에 손얹고 생각해보고) 식민지 시대 당사자들은 이제는 존재하지도 않는데 국민들이 계속해서 친일파 망령 붙들고 같은 국민을 대상으로 분노하게 만들며 비지니스하는 사람들이 있지 않은지 생각해볼 때도 되지 않았나 ㅋ,2
탄생,너무 감동적이고 너무 뜨거웠습니다보는내내  뜨거운 눈물이흘렀습니다 무슨말이 필요할까요 감사합니다조은영화 ,10
탄생,뜨거운 눈물이  주르륵... ,10
공조2: 인터내셔날,전작만큼은 아니어도 재미있고 시간 떼우기 좋은 영화,8
올빼미,류준열이 다 한 영화~몰입하며 잼나게 봤어요..,10
할로윈 엔드,"1,2편과 궤가 다른 3을 싫어할 수 있다.  코리란 캐릭터가 뜬금 없을 수도 있다. 그러나 3편의 코리를 통해 해든필드의 마이클마이어스가, 일상적인 존재로 다가왔다. 우리 주위에 산재한 증오들, 일상에 스쳐가는 미움들, 사람을 미치게 만들고 사회를 지옥으로 만드는 현실. 이를 나이가 지긋해진 로리와 마이클마이어스가 이전과 다른 방식으로 다뤄가는 할로윈엔즈를 보며, 이렇게 많이 울게 될 줄은 몰랐다. 뜻밖의 체험이었고 개인적으로 마음에 들었다.",8
올빼미,온 몸에 소름 돋으면서 봤어요 최근 몇 년 간 본 영화 중 최고인 것 같아요,10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",진짜 최고의 영화 입니다 ㅠㅠ 마지막 장면 쯤토루와 함께 했었던 말들과 행동들을 이즈미와 다시 행하는데 그때 정말 좋았습니다 정말 부족함 없는 영화,10
올빼미,잠시도 눈을 땔수 없을만큼재미 스릴 연기 너무 좋았습니다,10
압꾸정,흠.. 간간히 웃기긴한데전반적인 스토리 흐름이 굉장히 어색하고 영화를 통해서 어떤 메세지를 전달하고 싶어하는지가 분명하지 않아 아쉬웠습니다킬링타임용으로는 괜찮습니다,6
탄생,윤시윤배우 연기 너무 인상깊었어요 김대건의 삶을 장면 장면 보여준 것은 좋았지만 상영시간 너무 길어서 중간에 좀 지루했어요,8
한산 리덕스,"픽션이니 다 마음대로 해도 되지만 극적인 연출이 너무 억지스럽고, 언제쯤 한국 영화 cg가 거부감이 사라질지...",6
탄생,감동이네요~ 제가 윤시윤님 팬이라 2번 봤네요~2번째 보는데도 울컥~,10
올빼미,연출도 연기도 정말 훌륭한 영화!!! 너무 재밌게 봤습니다,10
올빼미,그냥 보세요. 미쳤습니다,10
올빼미,배우들이 연기를 참 잘하네요~  정말 재밌습니다~!!!,10
원피스 필름 레드,기대만큼은 아니지만 재밌게봤습니다 후반부에 &amp;#34;우타는 내 딸이다&amp;#34; 할때 울컥했습니다.. ,8
탄생,전개가 빠르고 영상이 아름다웠습니다 ,10
올빼미,아니 이렇게 재미있어도 되는거야?! 무조건 보셔요,10
탄생,2시간반이란 시간이 전혀 느껴지지 않던따뜻하면서 가슴속엔 뜨거운 무언가 가득차는 영화였어요학창시절 짧게 배웠던 김대건 신부님의 몰랐던 사실을 알게되었네요배우분들과 감독님께 진심을 담아 박수보냅니다살짝 아쉬운점은 최양업 신부님의 얘기도 더 담았으면 좋았을것 같아요,10
판의 미로 - 오필리아와 세 개의 열쇠,그 상황에서 굳이 왜 음미하면서 포도를 퍼먹고 있는지 이해할 수가 없는. ,10
올빼미,기대안하고 봤는데 엄청 재밌었습니다. 특히 중후반부터 긴장감 지립니다...,10
올빼미,역사를토대로된영화라서 느낌이깊게느껴지네요  쫄깃하고몰입감있고좋았어요,9
올빼미,치밀한 연출에 익숙한 배우들의 신선한 연기가 만나니 개연성에서 조금 아쉽지만 전반적으로 잘 짜여진 스릴러 영화가 되었다고 봄,10
압꾸정,있을법한 아니 실제 있는 이야기에 부합되어 나름 재미있었어요. ,6
올빼미,줄거리 탄탄하고 류준열.유해진 연기가 더해 몰입도 확 올리고영화배경음악또한 영화의 집중도를 더 높여 시간가는줄 모르고 봤어요모처럼 영화같은 영화 잘 봤습니다,10
올빼미,"유해진배우님 메소드연기가 뇌리에 남아요세자가 죽어가는 장면은 영화가 끝나도 침통한 기분이 맴돌게 했고, 한데 얻어 맞은 듯한 기분이 드는 영화였습니다. ",10
전투왕,오랜만에 좋은 영화 한편 봤습니다.,10
헤어질 결심,"엇갈린 사랑, 사랑에 목숨을 던진다!마침내 마지막 씬을 완성하기위한 안개같은 이야기구성!오랜만에 멋지고 슬픔가득한 러브스토리 영화 잘 감상했습니다.역시 박찬욱 감독님 !컷 하나에 깊은 이유들. 천재적 컷 들, 아직 우리나라에 없었던 시나리오!영혼을 바친 영화작품 잘 감상했습니다.",10
이중간첩,뭐야..이거...왜이렇게 재밌음? 지금 나왔으면 헌트급 인기는 되었을듯,10
탄생,"현대에 신앙생활을 할 수 있음에 감사드리고, 하느님께 가까이 기도드릴 수 있도록 길을 만들어 주신 세계의 사제분들과 성 김대건 안드레아 신부님, 가경자 최양업 토마스 신부님 그리고 우리나라의 신앙선조들께 감사드립니다.♡ ",10
너와 사랑한 시간,오늘 보고 왔습니다.. 평점 보고 영화를 봣는데우셧다는 분들이 꽤 계셔서 으흠.. 그정도인가햇는데... 소리만 안 냇지 막판에 통곡을 했습니다.. 추천합니다.. 진짜..,10
압꾸정,"개그코드 맞으면 재밌게 볼만한 오락영화임.  찰진 연기, 약방의 감초같은 개그코드, 가벼운 분위기의 오락영화. 단 마동석 캐릭터는 어느 영화나 비슷하네(캐릭터성의 소진으로 인한 피로), 살짝 개연성 부족한 부분은 아쉬움",9
올빼미,"가족들 다 가서 보고 왔습니다. 영화 끝나자마자 다같이 와.... 했던. 천만 가야할 영화라고 봅니다. 이 영화를 통해서 류준열이라는 배우를 정말로, 사랑하게 되었습니다.",10
본즈 앤 올,로맨스와는 어울리지 않을 소재로 이렇게 아름다운 영화를 완성하다니.. 루카 감독님은 진짜 천재 느낌...,10
탄생,"우리나라 국민으로서 김대건신부님의 명석한 두뇌와 끈질긴 집념과 신앙심으로 우리나라의 발전의 초석이되신것에 깊이 감명받았고, 월드컵과 더불어 한국인으로서 자긍심을 가질수있는 가슴찡한 영화였습니다. 요즘 흥행영화가 매우 폭력적이고 자극적인데, 청소년이나 젊은세대가 이런역사 영화를 통해서 애국심을 고취시키고, 온고지신의 정신을 다시한번 새길수 있는 교훈적인 영화인것같습니다.윤시윤 배우님 연기도 좋았어요",10
올빼미,두배우의 연기만으로도 몰입감이 상당합니다.,8
데시벨,볼 맛 안남 연출만 좋음.,6
블랙 팬서: 와칸다 포에버,무슨말이필요한가?블랙팬서는영원하다,10
분노의 질주: 더 얼티메이트,개연성은 개나 줘버린 영화,5
올빼미,연기력 최고 러닝타임과 모든게 좋았어요,9
올빼미,CGV에서 보고 나왔습니다.유해진님을 좋아해서 봤는데 너무 재미있었어요. 역사서에 쓰여진 내용이 섞여있어 더욱 재미있게 감상했습니다!,10
프리즌,ㅋㅋㅋ  감독뇌절수준 쪽팔린다 진짜,1
통영에서의 하루,통영에 대해 별로 보여주는건 없음.. 공중파티비에서 미니드라마 보는듯한 느낌.. ,4
올빼미,재밌다. 보는거 추천!,10
외계+인 1부,나는 재밌었다. 관객수도 그렇고 혹평이 많아서 어쩌나 싶었는데 재밌던데....물론 전작이 워낙 뛰어나서 기대감을 높여버리는 바람에 사람들 눈높이가 확 올라가 있어서 더 혹평이 나왔을지도,9
압꾸정,넘재미있게봤어요 최고인듯,10
올빼미,류준열 때문에 조마조마..류배우 이 영화로 빛 좀 봅시당... ,10
헤어질 결심,이해가 약간 어렵지만 좋네요,10
올빼미,류준열이 돌아왔다 꼭보세요 짱입니더,10
문폴,너무재미있게 봤어용 ㅎㅎ,10
극장판 뽀로로와 친구들: 바이러스를 없애줘!,만화보며 졸아보긴 첨이네요. 명색이 뽀로로인데 어디서 본듯한 그림 다 붙혀놓고 정말. 사진찍는 곳도 종이 두장 벽에 붙혀놓고 정말. 일년에 1편만 만들고 제대로 좀 만드세요.,2
올빼미,와 … 지렸다 !!!!   이 말 밖에 생각 안남 ,10
올빼미,"진짜 명작,,,영화를 많이 보는데도 불구하고 올해본 영화중 3위입니다.",10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도","7월달에 책을 보고 12월 3일에 봤는데 먹먹해지고 &amp;#34;나는 내일, 어제의 너을 만나다.&amp;#34; 와 같이 만약에  책보다 영화을 먼저 봤다면 눈물이 나올정도의 슬픈 영화예요",10
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",오랜만에 잔잔하고 슬픈 영화,10
데시벨,차은우와 이종석 눈빛도 좋고 연기도 너무 잘하네요 스토리도 좋고 김래원도 잘 표현한것 같아요,10
연애 빠진 로맨스,"20대 중, 후반에 공감할 수 있는 현실적인 스토리입니다. 그래서 더 좋은 거 같습니다 :)연애의 형태에는 정답이 없고 서로만 알 수 있는 것들이 있죠 ",10
탄생,감사합니다.좋은 영화.감명있는 영화.,10
오큘러스,여기에 해리 윙크스 나옵니다 ,8
원피스 필름 레드,"영화 보고 나오는 길에 영화를 보는 도중에 대부분 사람들이여자(우타) 왜 저래?라고 하는 걸 들었습니다  다른 극장판이면 모르겠지만 “이번 극장판에서” 만큼은!우타의 감정을 시청자들에게 느끼게 하기엔 턱없이 부족한 연출이었다고 생각합니다 애초에 원피스 자체가 무거운 애니가 아니어서 그런지도 모르겠네요 다른 원피스 극장판은 각 에피소드마다 주인공(서브 캐릭터)과 밀짚모자들이 “진정한”주인공인 반면에 이번 필름 레드는 “진정한 주인공”이라 할 수 있는 우타의 감정선, &amp;#34;아 처음 등장했을 때부터 망가져있었구나&amp;#34; 라고 납득할만한 이유와 감정,  어려서부터 마음이 망가져 가던 모습을 충분히 보여주지 못한 게 이번에도 밀집모자들이 메인인 줄 알았던 대부분의 사람들이 엥? 뭐지? 이해가 안 되네 라고 받아들 수 없었던 이유라고 생각합니다 많이 아쉽습니다 ",8
올빼미,기대안하고 봤는데 재밌었어용,10
쥬라기 월드: 도미니언,쥬라기 시리즈에서 왜 인간의 액션씬을 보고앉아있어야되나,1
올빼미,류준열배우 연기 감동적이였습니다 시나리오 소재가 그닥..하면서 봤는데 기대이상의 만족스러운 영화였어요 ,10
압꾸정,돈 세는 장면이 그나마도 잴 재밌게 봤다 ,1
올빼미,두번봐 세번봐…무대인사 보고 오는길임..유해진배우님은 믿고 보는 배우고 류준열 연기 미쳤다…진짜다 원래 암생각 없다가 지금 팬 될 위기다…………,10
올빼미,연기 잘하고 흥미진진?재밌게 보고 가네요.,8
올빼미,올뺴미 큰 기대를 안하고 본 영화였지만초반의 지루함을 벗어나면 중간부턴 박진감도 있고재미있는 부분이 많다.픽션이 가미된 영화지만 그래도 준수하게 본 영화.류준열의 연기는 갈수록 성장하는게 느껴진다.간만에 후회없이 본 영화. 강력 추천,9
판도라,탈원전정책을 밀어붙이던 문정권의 떨거지들이 사전작업으로 만든 영화 국가전략산업이 음모론으로 고사될뻔했다,1
판도라,웹튠인가? 상식도 없는 작가맘대로 만들었네,2
탄생,"조금 길지만, 그렇게 긴 이유는 그만큼 담아야할 이야기가 많았을 뿐고증도 좋고, 감동도 있었다.결국 그들의 희생으로 내가 여기에 서있다.",10
올빼미,재미있게 잘봤어요 스토리가 좋네요 ,10
올빼미,역사를 기반으로 했으니 결말이 밍숭미숭이란 댓글은 역사를 모르나봅니다 쯧쯧ㅋㅋㅋ상영내내 쫄깃쫄깃 재밌습니다 강추! 류준열 유해진 배우 연기 진짜 좋았어요 교훈: 욕심을 부리지않았다면 나라의 역사가 바뀌고 후손들의 삶이 달라졌을것이다! ,10
전우치,여자들만 좋아하고 재밌게 볼 영화. 남자들은 별로 재미없게 볼 영화,6
